company,address,start_year,end_year,type,lat,lon
W.H. Franklin,"1082 Hershey Ave, Muscatine, Iowa",1900,1904,cutting shop,41.415141,-91.055537
McKee Button Company,"1000 Hershey Ave.
Muscatine, Iowa",1925,2020,cutting shop,41.414961,-91.055188
Muscatine Button Company,"913-916 W Mississippi Dr, Muscatine, Iowa",1910,1911,cutting shop,41.41565,-91.054233
Jules Gosset,"1108 Hershey Ave, Muscatine, Iowa",1936,1941,cutting shop,41.414862,-91.057275
Homer Dean Button Shop,"211 Bush St., Muscatine, Iowa",1943,1946,cutting shop,41.41557959,-91.05973259
Acme Pearl,"211 Bush St., Muscatine, Iowa",1954,1956,cutting shop,41.41557959,-91.05973259
McCleary Button Plant,"211 Bush St., Muscatine, Iowa",1958,1958,cutting shop,41.41557959,-91.05973259
Holzhauer & Bauerbach,"516 Main St, Muscatine, Iowa",1900,1911,cutting shop,41.416368,-91.059111
Holzhauer Button Factory,"516 Main St, Muscatine, Iowa",1919,1921,cutting shop,41.416368,-91.059111
Frank E. Elliott,"Busch St, Muscatine, Iowa",1908,1909,cutting shop,41.414132,-91.060679
L.A. Fisher,"116 Bridgeman St, Muscatine, Iowa",1910,1911,cutting shop,41.4210395,-91.07145169
... H. Collins,"328 Fletcher Ave, Muscatine, Iowa",1940,1941,cutting shop,41.419883,-91.071582
William I. Symmonds,"20? Bridgeman St, Muscatine, Iowa",1936,1939,cutting shop,41.421127,-91.072099
W. Weggen & Brothers,100 Block of Lucas St,1900,1904,cutting shop,41.418892,-91.05794
Fred Grau,100 Block of Lucas St,1910,1911,cutting shop,41.418892,-91.05794
Grau Button Factory,100 Block of Lucas St,1919,1919,cutting shop,41.418892,-91.05794
Wiley Perkins,100 Block of Lucas St,1938,1939,cutting shop,41.418892,-91.05794
Joeseph Homeier,100 Block of Lucas St,1938,1939,cutting shop,41.418892,-91.05794
Peral Blan Cutting Company,100 Block of Lucas St,1949,1949,cutting shop,41.418892,-91.05794
Clarence T. Ziel,100 Block of Lucas St,1938,1939,cutting shop,41.418892,-91.05794
(Albert) Herget Button Company,"955/1300 Logan St, Muscatine, Iowa",1910,1919,cutting shop,41.434493,-91.064854
Charles Symmonds,"1057 Climer St, Muscatine, Iowa",1939,1941,cutting shop,41.422336,-91.069176
(Fred) Grau Button Factory,"1131 Climer St, Muscatine, Iowa",1913,1939,cutting shop,41.422336,-91.069176
Boldt button Factory,"913 Newell Ave, Muscatine, Iowa",1913,1927,cutting shop,41.423301,-91.063004
William F. Boldt,"913 Newell Ave, Muscatine, Iowa",1931,1941,cutting shop,41.423301,-91.063004
Lawrence Symmonds,"407 Kindler Ave, Muscatine, Iowa",1934,1934,cutting shop,41.426647,-91.071132
Kay C. Morrow,"702 Fulliam Ave, Muscatine, Iowa",1940,1943,cutting shop,41.430314,-91.06289
Becker Button Company,"935 Roscoe Ave, Muscatine, Iowa",1910,1911,cutting shop,41.424511,-91.054871
C.L. Schner,"513 W 5th St, Muscatine, Iowa",1902,1903,cutting shop,41.421011,-91.053102
Wenak & Schner Pearl Button Factory,"523 W 5th St, Muscatine, Iowa",1899,1899,cutting shop,41.420962,-91.05319
Boepple Button Company,W 6th St at the corner of Linn Street,1893,1896,cutting shop,41.422667,-91.051904
Peerless Button Factory,"401 W Mississippi Dr, Muscatine, Iowa",1897,1900,cutting shop,41.416808,-91.051382
Hagerman Button Company,"401 W Mississippi Dr, Muscatine, Iowa",1900,1900,cutting shop,41.416808,-91.051382
Bishop & Hagermann Button Company,"401 W Mississippi Dr, Muscatine, Iowa",1902,1903,cutting shop,41.416808,-91.051382
Iowa Pearl Button Company,"407 W Mississippi Dr, Muscatine, Iowa",1923,1927,cutting shop,41.418661,-91.04863
Independent Button Company,"417 W Mississippi Dr, Muscatine, Iowa",1910,1913,cutting shop,41.417038,-91.051279
Peerless Pearl Button Company,"315-319 W Mississippi Dr, Muscatine, Iowa",1895,1897,finishing plant,41.419329,-91.047932
